system,dt_ps,n_replicas,frames_min,frames_max,binding_frac_mean,binding_frac_ci_lo,binding_frac_ci_hi,tau_ps_mean,tau_ps_ci_lo,tau_ps_ci_hi,analytes_used,analytes_total
SYS_000,10.072846561650183,3,1000,1000,0.6484786043526564,0.6412351769896114,0.794867942092323,6500.22221012915,5401.364398306276,6677.290197661709,10,10
SYS_001,10.0103602358319,3,1000,1000,0.7464252428457786,0.49828543766601896,0.909880308957154,7264.502018594434,3455.4314110825103,9054.426784212728,10,10
SYS_002,9.975261546999203,3,1000,1000,0.6807010077860989,0.08483931510508591,1.0,0.0,0.0,9362.948932620877,10,10
SYS_003,9.946698842981718,3,1000,1000,0.663476936755436,0.5562066598950658,0.7555004403535784,8572.545651059285,7675.564658101498,10495.518741852226,10,10
SYS_004,10.006692786558595,3,1000,1000,0.9547774022331262,0.756501704766422,1.0,6973.7194090548355,4783.627061584975,8749.314103990366,10,10
SYS_005,9.979676472617243,3,1000,1000,0.7785468337951346,0.6407643233474056,0.8371060802963122,7240.979305944271,5499.926644620371,7374.322028779565,10,10
SYS_006,9.989616068495508,3,1000,1000,0.6942999785662808,0.608149259545917,0.8743242396190634,6685.507656179719,1758.3592826311406,7352.262290937552,10,10
SYS_007,9.984697580023505,3,1000,1000,0.7866584749391653,0.6680936557410792,0.996977551646166,9202.542168096988,3678.376264057417,11242.309944804645,10,10
SYS_008,9.99648022783959,3,1000,1000,0.678545716496456,0.6018704539261096,0.966042435249248,5134.223918618706,3820.9160507818488,8570.062676549966,10,10
SYS_009,10.026649505769692,3,1000,1000,0.5525123606440238,0.4047101390889317,0.6965496399221346,6873.131468579321,5168.367634200445,9098.402327245822,10,10
SYS_010,10.003926214186134,3,1000,1000,0.6790410830862763,0.5083605915171904,0.694323573712847,7272.949482533343,2667.2181689834333,7306.569993463442,10,10
SYS_011,9.996034129074033,3,1000,1000,0.20415127791706822,0.0,0.7065473652357758,5472.152624320952,3728.7815892697263,9180.43796572619,10,10
SYS_012,9.974108656179355,3,1000,1000,0.7112514760515423,0.07015454805280885,0.7722928895992469,3620.4207420466337,0.0,6179.4667109663615,10,10
